"subject_nr","PPList","Identical","Orientation1","Orientation2","Picture1","Picture2","response","correct","response_time","gender","year","month","fullscreen","File","opensesame_codename","opensesame_version","experiment_file"
2,"PP_LIST2.csv","F","F","F","pumpkin.jpg","trmpet.jpg","j",0,278,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","Y","V","V","bookV.jpg","bookV.jpg","j",1,389,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","Y","V","V","batV.jpg","batV.jpg","j",1,317,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","sutcse.jpg","pumpkin.jpg","j",0,433,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","F","F","F","watch.jpg","skirt.jpg","f",1,864,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","F","F","F","wrench.jpg","piano.jpg","j",0,282,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","N","V","H","clothespinV.jpg","clothespinH.jpg","j",1,323,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","N","V","H","crayonV.jpg","crayonH.jpg","j",1,369,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","F","F","F","tiger.jpg","wndmil.jpg","j",0,310,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","F","F","F","spider.jpg","couch.jpg","j",0,318,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","N","H","V","bowlH.jpg","bowlV.jpg","j",1,395,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","Y","H","H","glassH.jpg","glassH.jpg","j",1,312,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","F","F","F","skirt.jpg","tlphon.jpg","j",0,305,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","Y","H","H","ironH.jpg","ironH.jpg","j",1,248,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","F","F","F","mitten.jpg","needle.jpg","j",0,351,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","F","F","F","stove.jpg","ftball.jpg","j",0,246,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","F","F","F","trmpet.jpg","tapedispenser.jpg","j",0,338,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","N","V","H","caterpillarV.jpg","caterpillarH.jpg","j",1,230,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","F","F","F","nut.jpg","watch.jpg","j",0,429,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","N","H","V","bottleH.jpg","bottleV.jpg","j",1,384,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
3,"PP_LIST3.csv","F","F","F","couch.jpg","spider.jpg","j",0,231,"Male",1997,6,"no","subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
